date,departure,arrival,carbon,carbon_cumulative,datetime
,,,,0,2023/1/1
1672781706,KAUS,KOAK,13501.25,13501,2023/1/3 21:35
1673128896,KOAK,02XS,11206.32,24707,2023/1/7 22:01
1673306958,KAUS,KOAK,14086.12,38793,2023/1/9 23:29
1673380132,KOAK,KAUS,11620.3,50413,2023/1/10 19:48
1673892184,KAUS,KOAK,14200.44,64613,2023/1/16 18:03
1674349222,KOAK,KBUR,3552.52,68165,2023/1/22 1:00
1674430215,KBUR,CT32,18495.48,86660,2023/1/22 23:30
1674448547,KSFZ,KOAK,21177.92,107837,2023/1/23 4:35
1674593384,KOAK,KRNO,2404.45,110241,2023/1/24 20:49
1674605198,KRNO,KOAK,2671.61,112912,2023/1/25 0:06
1674750129,KOAK,KIAD,17783.05,130695,2023/1/26 16:22
1674846873,KIAD,KOAK,20857.81,151552,2023/1/27 19:14
1674935889,KOAK,KAUS,11131.7,162683,2023/1/28 19:58
1675192106,,KOAK,13800.91,176483,2023/1/31 19:08
1675469827,KOAK,02XS,11539.67,188022,2023/2/4 0:17
1675720489,KAUS,KOAK,13230.48,201252,2023/2/6 21:54
1675829613,KOAK,KHHR,3891.88,205143,2023/2/8 4:13
1675918863,KHHR,KOAK,3597.04,208740,2023/2/9 5:01
1676234034,KOAK,KGYR,6540.63,215280,2023/2/12 20:33
1676259304,KGYR,KOAK,5786.08,221066,2023/2/13 3:35
1676838401,KOAK,KAUS,11876.63,232942,2023/2/19 20:26
1677003471,KAUS,KOAK,13559.02,246501,2023/2/21 18:17
1677776455,KAUS,KOAK,13291.86,259792,2023/3/2 17:00
1677910264,KOAK,KAUS,11620.3,271412,2023/3/4 6:11
1678136268,KAUS,KOAK,14159.53,285571,2023/3/6 20:57
1678226804,KOAK,79TX,12877.88,298448,2023/3/7 22:06
1678401012,,KOAK,16068.16,314516,2023/3/9 22:30
1678506846,KOAK,KAUS,10989.7,325505,2023/3/11 3:54
1678723708,KAUS,KOAK,15064.51,340569,2023/3/13 16:08
1678741022,KOAK,KVNY,3320.26,343889,2023/3/13 20:57
1679894116,KVNY,02XS,9291.66,353180,2023/3/27 5:15
1679962701,KAUS,KHHR,12011.41,365191,2023/3/28 0:18
1680035262,KHHR,KOAK,3937.61,369128,2023/3/28 20:27
1680144476,KOAK,KAUS,11726.2,380854,2023/3/30 2:47
,,,,,
,,,,1123.875,338.8757647
